Distriktkod;Distriktnamn; Arbetarepartiet-Socialdemokraterna; Sverigedemokraterna; Moderaterna; Vänsterpartiet; Centerpartiet; Kristdemokraterna; Miljöpartiet de gröna
Blekinge län;Dummy;31,14%;28,53%;17,86%;4,44%;4,84%;5,54%;2,91%
Karlshamn;Dummy;31,74%;28,79%;17,78%;4,60%;4,72%;4,91%;3,29%
10-82-0000;Uppsamlingsdistrikt;35,07%;20,34%;20,71%;5,22%;4,66%;3,92%;3,92%
10-82-0101;Högadal;34,87%;22,93%;18,52%;4,98%;5,55%;4,89%;3,38%
10-82-0102;Prästslätten;34,43%;22,33%;17,35%;4,36%;4,72%;5,60%;4,36%
10-82-0103;Stadsporten;33,09%;26,88%;19,37%;6,21%;3,15%;3,71%;2,78%
10-82-0104;Torget;28,77%;27,94%;19,24%;6,94%;3,70%;3,98%;3,33%
10-82-0105;Österslätt;32,43%;23,68%;19,68%;7,24%;4,76%;3,68%;3,46%
10-82-0106;Tubbaryd;33,94%;25,83%;17,82%;5,55%;3,31%;3,52%;5,23%
10-82-0107;Skogsborg;30,00%;21,67%;22,25%;5,39%;5,29%;3,63%;6,08%
10-82-0108;Vägga;31,15%;21,37%;22,61%;3,87%;5,40%;5,84%;5,25%
10-82-0310;Hällaryd;25,68%;32,41%;16,24%;3,33%;7,91%;6,73%;3,75%
10-82-0512;Horsaryd;30,55%;33,78%;16,69%;4,10%;4,24%;5,11%;2,96%
10-82-0513;Korpadalen;32,43%;23,23%;23,40%;2,64%;4,60%;6,81%;2,81%
10-82-0514;Froarp;30,34%;31,95%;17,72%;3,76%;5,10%;5,30%;2,89%
10-82-0515;Centrala Asarum;39,52%;29,12%;15,68%;4,08%;3,44%;3,36%;2,56%
10-82-0517;Svängsta nordöst;32,49%;33,01%;13,15%;4,97%;7,32%;4,53%;1,57%
10-82-0518;Svängsta sydväst;24,01%;43,25%;13,14%;4,30%;3,23%;5,97%;2,39%
10-82-0619;Mörrum västra;29,66%;34,41%;14,78%;5,36%;3,85%;6,78%;2,13%
10-82-0620;Mörrum östra;36,37%;32,57%;15,84%;3,36%;3,81%;3,19%;1,68%
10-82-0621;Gustavstorp;29,69%;37,41%;13,72%;3,97%;3,86%;5,36%;2,25%
Karlskrona;Dummy;31,87%;24,36%;19,02%;4,57%;5,39%;5,90%;3,39%
10-80-0100;Uppsamlingsdistrikt;26,37%;19,51%;25,55%;4,95%;7,14%;7,14%;4,95%
10-80-0127;Långö-Gräsvik;28,94%;19,07%;21,01%;5,52%;6,00%;5,03%;4,74%
10-80-0128;Saltö-Björkholmen;30,04%;18,20%;22,66%;5,04%;6,51%;5,41%;4,46%
10-80-0131;Västerudd;31,44%;21,36%;20,76%;4,91%;5,25%;5,77%;4,05%
10-80-0132;Rosenfeldt m.fl.;32,31%;19,63%;21,41%;5,41%;4,20%;5,82%;3,47%
10-80-0133;Trossö Ö;29,19%;21,13%;21,76%;6,69%;4,78%;5,31%;3,82%
10-80-0134;Möllebacken m.fl.;29,93%;21,31%;22,13%;4,95%;5,18%;6,90%;4,05%
10-80-0135;Wachtmeister m.fl.;30,37%;22,38%;21,23%;6,04%;6,22%;4,88%;2,84%
10-80-0136;Hogland m.fl.;32,69%;22,96%;19,95%;5,89%;2,76%;5,29%;2,76%
10-80-0137;Pantarholmen;37,03%;20,12%;18,59%;5,83%;4,66%;4,37%;3,35%
10-80-0138;Galgamarken;34,37%;20,17%;14,45%;8,47%;4,98%;3,86%;4,61%
10-80-0139;Bergåsa m.fl.;30,22%;14,48%;22,23%;6,04%;5,70%;5,59%;5,82%
10-80-0140;Hästö;27,80%;15,99%;25,15%;3,77%;8,55%;5,80%;5,70%
10-80-0141;Marieberg m.fl.;41,09%;19,88%;13,21%;9,94%;3,39%;3,64%;3,39%
10-80-0142;Kungsmarken;56,98%;9,54%;5,27%;16,67%;3,13%;0,85%;2,14%
10-80-0143;Mariedal-Backabo-Torskors;38,53%;23,52%;14,68%;5,09%;5,59%;4,84%;3,84%
10-80-0200;Uppsamlingsdistrikt;27,11%;23,95%;19,47%;7,37%;6,58%;5,00%;3,68%
10-80-0300;Uppsamlingsdistrikt;28,11%;17,54%;25,37%;6,72%;5,97%;4,98%;4,35%
10-80-0430;Aspö;36,56%;22,17%;13,21%;4,48%;3,07%;7,78%;5,90%
10-80-0508;Kronotorp m.fl.;40,50%;21,16%;15,02%;6,03%;3,64%;6,94%;2,84%
10-80-0509;Verkö m.fl.;26,39%;15,64%;32,06%;2,64%;6,74%;6,06%;4,20%
10-80-0510;Lyckeby V;42,84%;22,57%;14,59%;3,30%;4,22%;6,15%;2,02%
10-80-0606;Kättilsmåla;25,70%;36,76%;13,87%;3,30%;7,27%;7,95%;2,52%
10-80-0611;Lyckeby Ö;31,76%;18,71%;19,89%;4,09%;7,00%;7,15%;4,80%
10-80-0612;Spandelstorp m.fl.;32,49%;24,01%;21,71%;4,83%;4,68%;5,50%;2,08%
10-80-0613;Hässlegården;35,28%;15,64%;25,06%;2,63%;6,38%;4,87%;3,99%
10-80-0801;Kristianopel;24,20%;40,68%;11,32%;4,10%;5,37%;8,39%;2,24%
10-80-0903;Jämjö N;33,43%;31,89%;14,11%;2,57%;4,78%;7,49%;1,84%
10-80-0904;Jämjö S;34,40%;25,70%;16,23%;3,00%;6,96%;7,44%;2,03%
10-80-1002;Torhamn;25,39%;34,57%;15,29%;4,26%;6,02%;6,58%;4,54%
10-80-1107;Sturkö;34,17%;27,83%;15,70%;3,82%;4,72%;6,10%;2,20%
10-80-1205;Ramdala;29,79%;28,86%;18,73%;2,87%;5,73%;6,24%;3,68%
10-80-1214;Trummenäs;26,20%;19,34%;29,52%;1,83%;6,52%;7,09%;2,75%
10-80-1421;Strömsberg;26,61%;41,26%;12,06%;3,38%;6,43%;6,54%;1,69%
10-80-1422;Rödeby N;32,12%;29,87%;17,22%;3,71%;4,94%;5,89%;1,09%
10-80-1423;Rödeby S;36,28%;26,82%;17,71%;3,30%;4,17%;5,30%;2,34%
10-80-1518;Fridlevstad;26,52%;38,48%;15,95%;2,19%;4,39%;5,78%;1,79%
10-80-1616;Sillhövda;19,96%;41,26%;14,57%;4,37%;5,94%;7,06%;2,91%
10-80-1720;Tving;22,82%;39,45%;17,66%;2,87%;7,22%;4,59%;1,72%
10-80-1824;Nättraby V;37,55%;25,43%;15,88%;2,79%;4,29%;5,15%;4,61%
10-80-1825;Nättraby Ö;29,04%;15,64%;26,54%;3,22%;5,72%;7,77%;6,08%
10-80-1844;Nättraby S;28,54%;21,02%;27,81%;1,90%;5,69%;6,06%;3,65%
10-80-1926;Hasslö;37,55%;27,96%;13,86%;5,08%;3,30%;6,20%;3,30%
Olofström;Dummy;32,99%;34,70%;13,34%;4,62%;4,50%;4,94%;2,00%
10-60-0000;Uppsamlingsdistrikt;25,24%;35,33%;15,77%;6,62%;6,62%;4,10%;2,84%
10-60-0101;Vilboken;32,27%;33,17%;16,24%;5,58%;3,29%;4,68%;2,39%
10-60-0102;Kyrkhult-Hemsjö;29,32%;36,54%;14,70%;2,75%;6,62%;5,33%;2,06%
10-60-0103;Jämshög;34,73%;30,63%;14,51%;5,61%;4,36%;5,43%;1,60%
10-60-0104;Brännaregården;30,35%;37,63%;13,10%;3,58%;4,82%;6,16%;1,34%
10-60-0105;Ekeryd-Gränum;31,79%;37,39%;12,67%;3,90%;4,51%;4,75%;1,71%
10-60-0106;Oredslund;35,11%;31,56%;14,40%;4,73%;4,34%;4,54%;2,27%
10-60-0107;Olofström-Vilshult;32,49%;38,01%;11,15%;3,96%;3,72%;5,40%;2,40%
10-60-0108;Olofström C;40,51%;34,07%;8,02%;6,12%;3,16%;3,48%;1,90%
Ronneby;Dummy;30,73%;31,07%;16,31%;4,66%;4,56%;5,39%;2,46%
10-81-0000;Uppsamlingsdistrikt;34,81%;23,13%;15,42%;10,05%;4,21%;4,44%;3,50%
10-81-0101;Centrum;35,33%;27,07%;17,52%;5,22%;3,15%;4,82%;2,07%
10-81-0102;Fredriksberg;30,60%;23,65%;20,46%;3,19%;4,63%;5,98%;3,67%
10-81-0103;Hulta;33,76%;26,75%;18,38%;3,28%;4,19%;5,55%;2,91%
10-81-0104;Blekan;31,41%;27,61%;18,80%;4,89%;3,70%;4,89%;4,02%
10-81-0105;Lugnet;30,15%;28,68%;18,29%;5,33%;3,22%;6,25%;2,85%
10-81-0106;Espedalen;47,38%;21,50%;9,88%;8,50%;3,25%;3,50%;1,50%
10-81-0107;Älgbacken;44,73%;24,28%;6,55%;9,90%;3,19%;2,24%;1,28%
10-81-0108;Persborg;28,22%;28,79%;21,02%;4,45%;3,69%;5,02%;3,31%
10-81-0109;Varan;28,38%;24,69%;20,33%;4,91%;5,87%;5,73%;4,09%
10-81-0110;Hasselstad-Eringsboda;17,02%;42,84%;14,43%;2,93%;9,13%;7,78%;1,80%
10-81-0111;Häggatorp;31,30%;43,16%;10,47%;3,63%;2,35%;4,49%;1,50%
10-81-0112;Kalleberga;31,43%;37,54%;15,12%;5,31%;2,10%;4,60%;0,60%
10-81-0113;Kallinge;36,00%;35,40%;9,90%;4,80%;2,00%;5,40%;0,70%
10-81-0314;Backaryd-Öljehult;20,93%;36,37%;17,31%;4,97%;6,74%;7,05%;3,11%
10-81-0617;Förkärla-Listerby N;27,41%;28,09%;20,63%;2,36%;6,58%;6,19%;3,05%
10-81-0718;Listerby S;24,86%;35,78%;18,82%;3,02%;5,17%;4,89%;1,87%
10-81-0920;Hjortsberga-Edestad;26,42%;37,63%;16,90%;3,47%;4,45%;5,16%;3,02%
10-81-1021;Bräkne-Hoby Landsbygd;22,46%;30,39%;18,90%;3,86%;9,45%;7,11%;3,66%
10-81-1022;Bräkne-Hoby Samhälle;37,97%;31,10%;12,60%;4,67%;4,41%;4,76%;0,88%
Sölvesborg;Dummy;26,70%;35,44%;19,20%;3,21%;3,68%;5,92%;1,79%
10-83-0000;Uppsamlingsdistrikt;23,16%;33,55%;20,13%;3,68%;4,55%;6,49%;4,33%
10-83-0101;Furulund;34,12%;28,36%;18,93%;5,13%;3,33%;3,81%;2,36%
10-83-0102;Möllebacken;29,76%;29,29%;22,05%;3,28%;3,75%;6,03%;1,94%
10-83-0103;Falkvik;29,34%;33,48%;19,88%;2,85%;2,46%;5,89%;1,68%
10-83-0104;Hjortakroken;32,72%;32,27%;14,87%;4,81%;4,58%;5,26%;1,72%
10-83-0105;Norje m fl;27,47%;41,00%;16,28%;2,75%;3,05%;4,98%;1,32%
10-83-0106;Gammalstorp m fl;17,30%;42,86%;19,66%;3,28%;3,28%;7,86%;1,44%
10-83-0107;Mjällby m fl;24,06%;43,84%;15,34%;2,77%;3,52%;6,79%;1,26%
10-83-0108;Hörvik m fl;19,65%;41,50%;22,08%;1,27%;3,47%;5,90%;1,50%
10-83-0109;Hällevik m fl;20,85%;36,02%;22,45%;1,69%;5,24%;7,63%;0,98%
10-83-0110;Siretorp m fl;26,05%;34,51%;18,70%;3,53%;4,28%;5,67%;2,23%
Dalarnas län;Dummy;31,66%;25,69%;16,43%;5,33%;6,50%;6,02%;3,80%
Avesta;Dummy;35,71%;27,93%;15,31%;4,58%;4,86%;5,40%;2,20%
20-84-0000;Uppsamlingsdistrikt;37,74%;23,37%;14,18%;7,47%;5,75%;3,26%;3,83%
20-84-0101;Avesta N;39,44%;26,95%;15,57%;4,53%;3,22%;4,12%;1,92%
20-84-0102;Avesta C;40,28%;24,88%;14,09%;6,59%;3,71%;3,95%;2,80%
20-84-0103;Avesta V;37,59%;28,36%;13,36%;4,70%;4,29%;5,19%;1,98%
20-84-0104;Avesta S;42,81%;25,51%;12,71%;5,56%;2,91%;3,80%;1,41%
20-84-0301;Horndal;34,65%;32,10%;10,87%;3,45%;6,78%;6,27%;2,30%
20-84-0302;By;22,56%;28,04%;17,09%;4,81%;12,02%;7,08%;4,67%
20-84-0401;Folkärna;27,45%;29,64%;19,21%;4,57%;5,86%;5,49%;3,29%
20-84-0402;Fors;32,14%;32,37%;13,29%;3,47%;5,32%;7,51%;2,43%
20-84-0403;Krylbo;41,30%;26,75%;10,17%;7,53%;2,75%;4,17%;2,44%
20-84-0404;Karlbo;32,87%;31,20%;17,49%;3,50%;4,30%;6,49%;1,53%
20-84-0601;Skogsbo N;32,24%;27,30%;19,74%;2,50%;5,79%;6,45%;1,71%
20-84-0602;Skogsbo C;38,57%;26,75%;16,68%;3,41%;4,38%;6,12%;0,90%
Borlänge;Dummy;34,01%;24,47%;16,74%;6,02%;5,27%;4,76%;3,67%
20-81-0000;Uppsamlingsdistrikt;28,24%;23,85%;17,18%;9,16%;5,92%;3,44%;4,01%
20-81-0101;Bergslagsbyn;35,26%;23,64%;17,87%;4,33%;4,47%;5,09%;3,78%
20-81-0103;Bullermyren;46,92%;18,33%;8,46%;9,74%;3,97%;2,44%;4,87%
20-81-0105;Hagalund N;31,79%;23,04%;16,20%;10,97%;4,43%;3,82%;4,33%
20-81-0107;Hagalund V;34,64%;24,29%;17,87%;7,45%;4,47%;4,47%;2,59%
20-81-0109;Hagalund Ö - Ringen;38,96%;24,75%;15,48%;7,99%;3,81%;2,28%;3,30%
20-81-0111;Jakobsgårdarna;41,12%;20,02%;10,79%;9,32%;4,02%;2,85%;6,08%
20-81-0113;Kvarnsveden V;35,62%;27,54%;14,20%;5,77%;4,11%;5,26%;3,32%
20-81-0114;Kvarnsveden Södra;41,76%;21,23%;16,36%;3,60%;4,06%;5,92%;2,55%
20-81-0115;Kvarnsveden Ö;34,73%;26,47%;17,42%;5,66%;4,19%;4,98%;2,49%
20-81-0117;Mats Knuts - Nygårdarna;32,82%;19,81%;18,88%;6,04%;6,29%;5,10%;4,34%
20-81-0119;Norr Amsberg;26,46%;33,01%;16,50%;5,37%;4,79%;6,15%;3,32%
20-81-0121;Skräddarbacken;31,41%;26,08%;14,48%;7,03%;4,49%;5,25%;4,74%
20-81-0123;Tjärna Ängar - Paradiset;40,62%;15,77%;17,22%;9,69%;4,23%;2,47%;4,33%
20-81-0124;Tjärna Allé;67,96%;6,96%;3,40%;8,90%;1,62%;0,97%;7,61%
20-81-0125;Tjärna Ängar - Övre Tjärna;42,77%;22,62%;13,96%;4,23%;5,11%;3,83%;4,03%
20-81-0201;Centrum - Norra;36,34%;22,11%;16,41%;6,45%;5,31%;4,27%;3,80%
20-81-0202;Centrum - Mjälga;27,42%;24,70%;21,11%;7,62%;7,07%;4,68%;2,94%
20-81-0203;Domnarvet V;33,87%;21,86%;18,25%;5,44%;5,76%;5,44%;4,16%
20-81-0205;Domnarvet Ö;34,27%;25,65%;14,92%;6,29%;4,60%;5,73%;3,79%
20-81-0207;Färjegårdarna - Årby - Hytting;37,16%;20,99%;19,86%;3,83%;4,96%;4,33%;2,77%
20-81-0209;Gylletäppan;32,90%;29,63%;16,49%;5,31%;4,65%;3,76%;2,69%
20-81-0211;Gylle-Åselby-Buskåker;28,20%;28,27%;18,13%;5,07%;6,40%;5,87%;2,67%
20-81-0213;Hushagen - Forssa;38,97%;23,23%;11,66%;6,24%;5,00%;5,00%;4,08%
20-81-0215;Kyrkbygden - Söder Tuna;24,01%;32,31%;17,93%;3,28%;8,79%;6,07%;2,58%
20-81-0217;Ornäs;29,23%;24,20%;20,85%;3,02%;7,20%;6,28%;4,94%
20-81-0219;Torsång;25,79%;23,12%;26,38%;2,17%;8,10%;5,93%;3,84%
20-81-0221;Väster Tuna - Idkerberget;22,86%;37,44%;16,67%;3,02%;6,45%;6,78%;2,51%
20-81-0223;Östermalm;28,44%;23,33%;20,07%;9,94%;4,74%;4,09%;2,97%
Falun;Dummy;31,42%;18,57%;18,64%;6,04%;8,12%;5,57%;6,18%
20-80-0000;Uppsamlingsdistrikt;26,37%;18,03%;20,64%;7,92%;8,59%;6,57%;5,64%
20-80-0101;Källviken och V Främby;29,63%;15,53%;22,72%;4,60%;8,25%;5,85%;6,81%
20-80-0102;Kvarnberget och Ö Främby;35,11%;17,28%;16,34%;10,13%;5,34%;3,77%;7,46%
20-80-0103;Elsborg;40,71%;15,79%;12,67%;9,45%;6,44%;3,33%;6,02%
20-80-0104;Hyttgården;31,55%;17,99%;21,76%;4,94%;7,36%;4,69%;5,86%
20-80-0105;Kämparvet;30,91%;13,68%;19,39%;9,65%;7,78%;4,72%;6,69%
20-80-0106;Nedre Norslund;39,51%;18,54%;12,45%;9,47%;5,82%;3,92%;3,79%
20-80-0107;Övre Norslund;39,00%;15,41%;15,51%;7,61%;7,43%;4,18%;6,50%
20-80-0109;Hälsingberg;34,43%;13,66%;18,63%;6,65%;8,43%;6,12%;6,92%
20-80-0110;Gruvriset;31,78%;14,43%;24,68%;4,65%;7,26%;6,07%;5,91%
20-80-0111;Kristine;30,96%;15,03%;22,42%;8,28%;7,26%;4,71%;5,10%
20-80-0112;Pilbo-Samuelsdal;32,49%;15,03%;21,52%;4,47%;8,32%;5,18%;6,40%
20-80-0210;Grycksbo;36,42%;25,76%;13,62%;7,96%;5,33%;4,59%;3,28%
20-80-0301;Gruvan;34,31%;13,78%;20,80%;3,68%;8,94%;4,43%;7,98%
20-80-0303;Herrhagen;37,46%;20,37%;10,51%;11,06%;5,15%;5,59%;3,40%
20-80-0304;Ångbryggeriet;30,33%;14,75%;22,01%;7,73%;7,49%;5,15%;6,67%
20-80-0306;Bojsenburg;35,58%;19,63%;11,76%;14,31%;4,19%;4,09%;4,50%
20-80-0307;Kyrkbacken;28,16%;8,16%;19,90%;6,17%;10,05%;5,07%;13,73%
20-80-0308;Lugnet;29,21%;10,37%;18,54%;5,88%;10,07%;3,99%;11,96%
20-80-0309;Slätta;41,81%;9,59%;18,11%;4,93%;7,32%;5,86%;7,86%
20-80-0311;Östanfors;30,51%;11,52%;20,89%;6,71%;8,48%;3,04%;12,53%
20-80-0401;Aspeboda;25,85%;22,16%;19,73%;3,60%;11,18%;7,87%;4,76%
20-80-0501;Vika;22,68%;23,41%;22,68%;4,80%;10,00%;7,48%;5,28%
20-80-0601;Hosjö Näs;30,80%;18,69%;19,37%;6,14%;8,02%;5,55%;6,14%
20-80-0602;Hosjö Sandviken;31,62%;23,41%;17,66%;5,24%;6,16%;5,54%;4,21%
20-80-0701;Sundbornsbyn;29,01%;20,10%;22,87%;4,65%;8,61%;5,84%;4,85%
20-80-0702;Danholn och Karlsbyheden;30,94%;23,67%;18,68%;3,69%;10,97%;4,67%;4,45%
20-80-0801;Linghed;18,55%;35,58%;17,20%;4,38%;9,11%;10,62%;1,35%
20-80-0802;Boda och Toftbyn;24,73%;30,63%;16,74%;3,39%;7,88%;7,55%;5,36%
20-80-0803;Borgärdet och Lumsheden;28,57%;29,01%;17,77%;4,62%;7,32%;5,66%;3,14%
20-80-0935;Haraldsbo;32,74%;18,29%;16,92%;6,74%;8,25%;4,54%;4,81%
20-80-0980;Hälsinggården;33,37%;13,33%;19,93%;3,24%;9,59%;5,60%;7,72%
20-80-1001;Enviken;23,35%;31,05%;19,18%;3,71%;9,36%;8,06%;2,50%
20-80-1060;Britsarvet;33,54%;11,15%;17,56%;6,83%;10,41%;4,52%;9,57%
20-80-1101;Bjursås Ö och Sågmyra;30,18%;25,24%;15,20%;4,87%;7,90%;7,97%;4,87%
20-80-1102;Bjursås V;27,96%;29,36%;16,87%;2,61%;8,39%;8,48%;2,61%
20-80-1138;Karlberg;33,33%;14,14%;17,36%;7,36%;9,31%;5,29%;7,59%
20-80-1140;Stenslund;33,36%;9,33%;22,27%;2,68%;11,00%;4,90%;9,24%
20-80-1154;Varpan;29,77%;19,85%;19,75%;3,21%;8,41%;5,95%;7,18%
Gagnef;Dummy;27,04%;27,80%;15,30%;4,87%;8,24%;9,00%;3,92%
20-26-0000;Uppsamlingsdistrikt;24,56%;29,04%;15,40%;6,43%;8,38%;5,65%;6,24%
20-26-0105;Mockfjärd;27,69%;31,30%;14,73%;5,03%;6,37%;10,06%;1,27%
20-26-0201;Gagnefs 1;26,78%;22,73%;15,54%;4,71%;9,92%;10,00%;5,87%
20-26-0202;Gagnefs 2;28,05%;25,48%;16,08%;5,06%;7,07%;10,37%;3,70%
20-26-0203;Gagnefs 3;27,43%;31,96%;10,70%;4,66%;8,09%;9,05%;3,84%
20-26-0204;Gagnefs 4;26,76%;28,23%;18,91%;4,79%;8,79%;5,73%;3,20%
20-26-0301;Floda;23,85%;26,64%;12,17%;5,76%;11,68%;8,22%;8,55%
20-26-0302;Björbo;29,54%;29,34%;19,36%;2,00%;7,39%;9,38%;0,40%
Hedemora;Dummy;29,63%;28,84%;16,11%;5,63%;6,24%;6,24%;3,50%
20-83-0000;Uppsamlingsdistrikt;27,25%;22,87%;20,68%;8,52%;5,35%;6,81%;3,41%
20-83-0101;Hedemora SV;31,29%;27,23%;15,91%;5,26%;6,32%;6,32%;3,13%
20-83-0102;Hedemora NÖ;29,43%;27,92%;17,74%;6,19%;5,66%;7,62%;3,02%
20-83-0103;Hedemora NV;27,65%;26,81%;18,67%;4,85%;7,42%;6,64%;3,47%
20-83-0104;Hedemora SÖ;29,54%;27,91%;16,46%;5,86%;6,96%;5,92%;3,77%
20-83-0105;Vikmanshyttan;28,79%;38,61%;14,19%;4,91%;3,41%;6,55%;2,18%
20-83-0206;Garpenberg;26,24%;33,08%;9,51%;7,79%;4,37%;5,89%;5,51%
20-83-0307;Husby;24,79%;26,56%;17,12%;4,67%;10,17%;6,95%;5,71%
20-83-0308;Långshyttan;38,27%;32,31%;11,82%;5,59%;3,63%;3,35%;2,23%
Leksand;Dummy;29,83%;21,40%;18,61%;5,15%;7,94%;8,07%;4,25%
20-29-0000;Uppsamlingsdistrikt;31,23%;17,63%;16,88%;7,30%;8,06%;8,82%;5,54%
20-29-0102;Edshult - Åkerö - Övermo mfl;30,98%;18,37%;22,98%;4,18%;7,35%;6,92%;4,11%
20-29-0103;Häradsbygden - Heden - Djura mfl;29,94%;23,16%;16,37%;5,01%;7,96%;8,04%;5,01%
20-29-0104;Leksandsnoret;35,73%;18,45%;17,55%;8,10%;7,83%;5,22%;2,97%
20-29-0106;Leksand Ö;32,08%;20,37%;16,29%;5,09%;9,67%;6,52%;5,50%
20-29-0108;Tällberg mfl;27,62%;24,44%;16,60%;3,96%;9,46%;8,84%;5,28%
20-29-0110;Leksand V;28,45%;17,38%;24,51%;4,55%;7,67%;7,47%;4,14%
20-29-0301;Insjön Ö;27,17%;25,27%;18,88%;5,19%;6,29%;9,19%;3,90%
20-29-0311;Insjön V - Ål-Kilen;27,01%;28,59%;15,28%;6,32%;5,01%;10,54%;1,71%
20-29-0401;Siljansnäs;28,76%;21,63%;16,40%;4,28%;9,11%;10,38%;4,20%
Ludvika;Dummy;35,21%;28,11%;14,09%;6,16%;4,62%;4,71%;2,82%
20-85-0000;Uppsamlingsdistrikt;27,10%;29,77%;14,58%;8,62%;5,75%;4,11%;4,72%
20-85-0101;Ludvika Ulrika;34,68%;22,69%;19,02%;6,72%;4,81%;4,28%;2,75%
20-85-0102;Marnäs;38,19%;25,54%;13,93%;7,05%;4,56%;3,76%;2,64%
20-85-0103;Magneten;33,20%;26,59%;16,60%;6,36%;4,28%;4,93%;4,15%
20-85-0104;Högberget;34,60%;20,07%;17,07%;6,00%;7,27%;4,50%;4,73%
20-85-0105;Sörvik-Håksberg;30,09%;30,74%;17,66%;4,29%;7,41%;4,51%;2,03%
20-85-0108;Blötberget-Gonäs;29,03%;34,95%;13,31%;5,11%;4,97%;6,05%;2,82%
20-85-0110;Lorentsberga;39,52%;22,45%;18,05%;3,87%;4,93%;4,75%;2,99%
20-85-0111;Näset;48,90%;21,96%;9,38%;7,58%;2,99%;3,39%;1,60%
20-85-0113;Ludvika gård;40,42%;24,45%;11,74%;4,52%;3,18%;4,62%;7,31%
20-85-0114;Knutsbo;36,69%;19,02%;20,46%;3,30%;5,92%;4,56%;2,87%
20-85-0203;Björkås-Stallbacken;29,98%;39,97%;8,68%;9,50%;1,97%;6,63%;0,57%
20-85-0204;Öraberget;35,38%;37,55%;7,02%;7,51%;2,27%;5,53%;1,09%
20-85-0307;Kyrkbyn-Nyhammar;33,71%;32,75%;11,03%;5,99%;5,47%;4,08%;2,69%
20-85-0311;Sunnansjö-Saxdalen;27,79%;34,85%;14,73%;5,47%;4,48%;5,92%;2,28%
20-85-0401;Fredriksberg;49,46%;23,33%;5,83%;11,02%;2,81%;2,16%;1,73%
Malung-Sälen;Dummy;26,19%;32,12%;18,86%;4,11%;5,42%;6,48%;1,89%
20-23-0000;Uppsamlingsdistrikt;26,36%;26,09%;22,01%;5,71%;6,25%;4,08%;3,53%
20-23-0203;Malung S;32,08%;29,61%;15,09%;5,82%;5,58%;5,17%;2,54%
20-23-0205;Malung V;27,00%;33,44%;16,93%;3,01%;4,15%;7,17%;2,08%
20-23-0206;Malungsfors;23,53%;41,42%;13,24%;5,64%;6,62%;4,41%;1,47%
20-23-0210;Yttermalung;30,34%;43,10%;7,24%;5,17%;5,17%;2,76%;2,76%
20-23-0213;Malung Ö;33,67%;29,58%;14,24%;5,12%;4,86%;6,14%;1,19%
20-23-0301;Lima;16,56%;41,77%;21,50%;1,90%;3,62%;9,23%;1,24%
20-23-0502;Transtrand;21,00%;24,43%;29,22%;3,04%;7,61%;7,46%;1,75%
Mora;Dummy;29,63%;28,96%;16,04%;4,33%;7,10%;6,49%;3,25%
20-62-0000;Uppsamlingsdistrikt;27,18%;25,97%;14,08%;8,98%;7,52%;5,58%;5,34%
20-62-0103;Färnäs-Nusnäs-Garsås;27,42%;36,51%;14,25%;3,20%;5,45%;6,98%;2,55%
20-62-0107;Noret Norra-Bergkarlås;30,22%;31,35%;14,92%;5,29%;4,91%;6,23%;3,40%
20-62-0110;Stranden;31,93%;20,29%;17,81%;6,34%;7,71%;6,34%;4,28%
20-62-0111;Vika-Venjan-Selbäck;27,41%;35,64%;12,28%;2,86%;7,51%;9,18%;2,26%
20-62-0114;Morkarlby;32,43%;19,97%;21,73%;3,59%;7,83%;4,71%;3,91%
20-62-0115;Noret Södra;31,67%;23,38%;15,65%;5,73%;8,37%;5,37%;3,73%
20-62-0116;Öna-Kråkberg;28,07%;29,40%;18,47%;3,46%;6,60%;6,13%;3,69%
20-62-0117;Utmeland-Hånåkni;34,55%;27,44%;16,87%;3,96%;6,30%;4,47%;2,24%
20-62-0118;Klockarhagen;32,87%;27,15%;17,74%;4,21%;5,31%;7,31%;1,90%
20-62-0201;Våmhus-Bonäs;26,64%;37,67%;12,84%;1,64%;7,41%;8,62%;2,24%
20-62-0202;Östnor-Hemus-Långlet-Oxberg;30,22%;29,69%;17,71%;2,65%;6,36%;7,53%;1,48%
20-62-0301;Sollerö-Isunda;24,37%;30,76%;12,10%;7,06%;10,92%;6,13%;5,63%
Orsa;Dummy;26,79%;32,88%;13,40%;5,33%;6,50%;6,61%;3,68%
20-34-0000;Uppsamlingsdistrikt;21,45%;33,99%;17,49%;7,59%;5,28%;1,98%;4,29%
20-34-0201;Orsa Mellersta;30,58%;34,06%;11,55%;4,68%;6,67%;6,57%;1,79%
20-34-0202;Skattungbyn-Kallmora;16,73%;30,74%;8,17%;12,65%;8,17%;8,17%;9,34%
20-34-0203;Orsa Södra;24,03%;34,83%;16,56%;2,43%;8,01%;6,75%;3,15%
20-34-0204;Orsa Västra;25,44%;37,36%;13,85%;3,86%;5,64%;7,09%;3,06%
20-34-0206;Orsa Östra;33,40%;27,75%;12,92%;5,65%;4,78%;6,79%;3,44%
Rättvik;Dummy;28,64%;29,22%;16,52%;3,66%;6,87%;7,44%;3,66%
20-31-0000;Uppsamlingsdistrikt;16,02%;30,58%;21,84%;8,25%;6,80%;6,31%;6,80%
20-31-0101;Rättvik C;31,79%;24,70%;16,42%;3,73%;6,94%;7,54%;3,81%
20-31-0102;Rättvik S;26,67%;23,40%;20,63%;2,89%;8,11%;7,86%;5,66%
